_id,application_date,completed_date,description,issued_date,permit_num,permit_type,postal,revision_num,status,street_direction,street_name,street_num,street_type,structure_type,green_tech,green_roof_area,green_roof_variation_area,heater_work,address,location,latitude,longitude
7536,2013-08-14,,Permit for installation of 1 solar collector (certified model number 09-148271-01-CE) on roof of existing dwelling for solar hot water heating system. Refer to related plumbing application for connection to potable water heating system.,2013-08-15,13 220758,Small Residential Projects,M4C,0,Inspection, ,COLERIDGE,256,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"256 COLERIDGE AVE   Toronto, Canada","256, Coleridge Avenue, Woodbine Heights, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 4J2, Canada",43.6940246,-79.3155425
7537,2014-03-26,,Permit for installation of solar panels on roof of existing SFD.,2014-04-09,14 133758,Small Residential Projects,M6G,0,Permit Issued, ,GRACE,355,ST,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"355 GRACE ST   Toronto, Canada","355, Grace Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6G 2Y6, Canada",43.66065982,-79.41758666
7538,2014-09-16,,Proposed installation of rooftop solar panels to an existing detached SFD.,2014-10-06,14 223030,Small Residential Projects,M1C,0,Inspection, ,GLADYS,55,RD,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"55 GLADYS RD   Toronto, Canada","55, Gladys Road, Highland Creek, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1C 1A8, Canada",43.78656042,-79.18077506
7539,2015-05-29,,Installation of a Solar Domstic Hot Water system on the property's roof as part of existing ongoing construction under related application (Building Permit 13 258213 BLD NH),2015-06-12,15 165326,Small Residential Projects,M5R,0,Work Not Started,W,ROXBOROUGH,67,ST,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"67 ROXBOROUGH ST W Toronto, Canada","67, Roxborough Street West, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M4W 2K9, Canada",43.67749311,-79.39310984
7540,2015-06-12,,Install solar panels on existing roof structure,2015-07-14,15 173235,Small Residential Projects,M4C,0,Inspection, ,MAIN,505,ST,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"505 MAIN ST   Toronto, Canada","505, Main Street, Danforth East, Beaches—East York, East York, Toronto, Golden Horseshoe, Ontario, M4C 2C3, Canada",43.69587986,-79.30501955
7541,2016-05-30,2019-04-01,Proposal to install roof-top solar panels on existing single family detached dwelling.,2016-06-14,16 163941,Small Residential Projects,M1B,0,Cancelled, ,PENNYHILL,108,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"108 PENNYHILL DR   Toronto, Canada","108, Pennyhill Drive, Morningside Heights, Scarborough—Rouge Park, Scarborough, Toronto, Golden Horseshoe, Ontario, M1B 4R6, Canada",43.8138458,-79.2163474
7542,2016-07-15,2016-07-22,Installation of roof top solar panel,,16 191294,Small Residential Projects,M1M,0,Cancelled, ,BRIMLEY,75,RD,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"75 BRIMLEY RD   Toronto, Canada","75, Brimley Road, Cliffcrest, Scarborough Southwest, Scarborough, Toronto, Golden Horseshoe, Ontario, M1M 1X5, Canada",43.72389139,-79.24253107
7543,2016-07-27,2018-09-11,Proposal to install roof-top solar panels on existing single family detached dwelling.,2016-08-18,16 197904,Small Residential Projects,M1R,0,Closed, ,PRINCEWAY,75,DR,SFD - Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"75 PRINCEWAY DR   Toronto, Canada","75, Princeway Drive, Maryvale, Scarborough Centre, Scarborough, Toronto, Golden Horseshoe, Ontario, M1R 2J1, Canada",43.7528475,-79.3095457
7544,2017-10-04,,ROOFTOP PV SOLAR PANEL INSTALLATION,2017-10-26,17 242944,Small Residential Projects,M6H,0,Permit Issued, ,PAULINE,44,AVE,SFD - Semi-Detached,Solar Water Heater,,,Solar Domestic Hot Water (Res),"44 PAULINE AVE   Toronto, Canada","44, Pauline Avenue, Bloordale Village, Davenport, Old Toronto, Toronto, Golden Horseshoe, Ontario, M6H 3M8, Canada",43.66063346,-79.43840408
32036,2010-02-18,2010-11-29,"Revision No.1: To construct a rear one storey and two-storey addition at the rear of an existing 2-storey detached SFD + second-storey addition over existing attached garage + green roof over new one-storey addition + basement finish.  
To construct a rear one-storey and two-storey addition to the existing two-storey single family detached dwelling. 

",2010-03-25,03 141785,Small Residential Projects,M8Y,1,Closed, ,SOUTH KINGSLEA,4,DR,SFD - Detached,Green Roof,18.36,,,"4 SOUTH KINGSLEA DR   Toronto, Canada","4, South Kingslea Drive, Humber Bay, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M8Y 2G4, Canada",43.64105075,-79.49996166
32037,2010-12-06,,"Revision: Proposal to construct new green roof (Area 14, 667.61 sq.ft.) to existing addition.
Permit for new addition to ROTMAN MANAGEMENT SCHOOL - U of T.  New 9 Storey building plus mechanical penthouse - attached to existing Rotman Building. ***Green Roof shall be cover by serparate building permit****
See 08 195689 ZAL, 09 110461 MV, 09 117439 STE, for PAL, C of A and Site plan, as well as existing building permit 09152753 BLD to demolish rear portion of existing heritage building",2011-02-11,09 176602,New Building,M5S,1,Revision Issued, ,ST GEORGE,97,ST,University,Green Roof,375,0,,"97 ST GEORGE ST   Toronto, Canada","St George Street, University—Rosedale, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5T 2Z9, Canada",43.6609228,-79.3971272
32038,2010-02-08,,Construct 8 storey mixed use building with 2 levels of underground parking garage. There will be retail/commercial uses on the ground floor and floors 2 through to 8 will be residential (192 residential units).,2012-06-18,10 115481,New Building,M5A,0,Inspection,E,KING,510,ST,Mixed Use/Res w Non Res,Green Roof,615,0,,"510 KING ST E Toronto, Canada","510, King Street East, Corktown, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 1V1, Canada",43.6564634,-79.3573703
32039,2010-02-18,2015-11-09,Interior alterations to all floors of existing office building and replace roof top mechanical units.  See interior demo 10 107307 and COA A0087/10TEY.,2010-06-04,10 120075,Building Additions/Alterations,M5B,0,Closed, ,JARVIS,222,ST,Office,Green Roof,1470,0,,"222 JARVIS ST   Toronto, Canada","Government of Ontario, Jarvis Street, Garden District, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5B 2B2, Canada",43.65812415,-79.375609
32040,2010-03-12,2015-01-07,Construct new 13 storey mixed use condo tower (134 residential units) and 3 retail units at grade level.  3 levels of underground parking,2012-08-16,10 131477,New Building,   ,0,Closed,W,DUNDAS,5101,ST,Apartment Building,Green Roof,300,,,"5101 DUNDAS ST W Toronto, Canada","5101, Dundas Street West, Six Points, Etobicoke—Lakeshore, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9A 1C2, Canada",43.6450144,-79.5319315
32041,2010-03-15,2017-07-14,"To construct a new 21 storey, 237 unit apartment building with ancillary parking and amenity area.",2011-03-01,10 132321,New Building,M9R,0,Closed, ,RICHGROVE,21-Jul,DR,Apartment Building,Green Roof,0,348.47,,"7-21 RICHGROVE DR   Toronto, Canada","7, Richgrove Drive, Etobicoke North, Etobicoke, Toronto, Golden Horseshoe, Ontario, M9R 3V7, Canada",43.676569,-79.564927
32042,2010-03-25,,"34 storey mixed use building containing 478 residential dwelling units, 3 floors of non-residential uses and 5 levels of underground parking.
",,10 139082,New Building,M2N,0,Examiner's Notice Sent, ,YONGE,4917-4975,ST,Apartment Building,Green Roof,1317,0,,"4917-4975 YONGE ST   Toronto, Canada",,,
32043,2010-04-20,2015-06-09,Permit for to install green roof on second floor terrace roof of existing office building - (all office space) Landscape architects drawings and structural drawings included.,2010-05-19,10 155366,Building Additions/Alterations,M5H,0,Closed,W,KING,200,ST,Office,Green Roof,270,0,,"200 KING ST W Toronto, Canada","200, King Street West, Entertainment District, Spadina—Fort York, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5H, Canada",43.647872,-79.38559165
32044,2010-04-20,,Crescent School - 3 storey addition and partial basement classroom wing addition attached to the centre for creative learning.,2010-08-06,10 155781,Building Additions/Alterations,M2L,0,Inspection, ,BAYVIEW,2365,AVE,Secondary School,Green Roof,275,0,,"2365 BAYVIEW AVE   Toronto, Canada","Crescent School, Bayview Avenue, Don Valley West, North York, Toronto, Golden Horseshoe, Ontario, M2L 1E4, Canada",43.73301645,-79.37959518
32045,2010-07-09,2017-11-17,PHASE 2 Regent Park Revitalization -Building permit -  26 storey (plus 1 storey penthouse) condo with 4 storey podium - Dwelling units 283 - parking spaces - 268 parkings spaces (159 residential units) - Additional 84 Parking spaces ( Application also includes Arts and Cultural Centre ( 3 Storeys) - PLEASE NOTE NEW DRAWINGS SUBMITTED ON DEC 7 2010,2012-04-12,10 216000,New Building,M5T,0,Closed,E,DUNDAS,591,ST,Mixed Use/Res w Non Res,Green Roof,2195,0,,"591 DUNDAS ST E Toronto, Canada","591, Dundas Street East, Toronto Centre, Old Toronto, Toronto, Golden Horseshoe, Ontario, M5A 2B7, Canada",43.6602551,-79.3616475
